specobjid,plateid,mjd,fiberid,z,ra,dec,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw,h_alpha_flux_err,h_beta_flux_err,oiii_5007_flux_err,nii_6584_flux_err,oi_6300_flux_err,sii_6717_flux_err,sii_6731_flux_err
307402043482466304,273,51957,114,0.1403766,158.5795,-0.3424196,418.0545,78.47352,80.61823,292.0618,76.1275,178.6905,127.4238,-36.5827,-24.29358,6.445773,4.574957,4.810724,5.074433,3.490768,5.093101,4.44822
307405891773163520,273,51957,128,0.02901177,157.8447,-1.044287,763.7946,231.9757,461.8633,106.0073,21.10242,138.4024,96.20257,-69.5341,-9.636424,7.661575,5.461684,7.67232,2.710841,2.192889,3.429255,2.949411
307406716406884352,273,51957,131,0.03308398,158.0221,-0.7099955,922.7474,181.9884,52.72936,380.912,27.59583,187.5056,130.6511,-36.88625,-15.29102,9.880495,4.442429,3.653157,5.354547,2.933273,4.426126,3.952474
307407815918512128,273,51957,135,0.08618104,158.0351,-0.9373411,928.8693,165.863,625.4147,749.9421,51.61612,143.2759,122.2557,-35.53189,-25.73028,9.665425,5.342518,9.038549,8.064695,4.548316,6.339502,5.843868
307411664209209344,273,51957,149,0.1531435,158.3991,-0.4916665,502.5984,108.9552,35.35468,177.9922,11.578,80.98474,56.85651,-66.47849,-24.28879,6.050313,3.589575,3.297504,3.617876,2.033457,3.126963,3.03495
307413588354557952,273,51957,156,0.0648981,158.5313,-0.0481691,262.6718,77.44594,29.4492,83.09959,9.45906,56.21251,41.42321,-35.00798,-11.06594,3.913784,3.025578,2.685492,2.388462,1.717449,2.222919,2.098796
307422659325487104,273,51957,189,0.03112193,158.0693,-0.4645277,1015.161,329.7856,853.1048,112.1158,25.70633,144.0777,103.916,-101.1457,-11.4411,9.299955,5.583011,9.739078,2.539277,2.074898,3.504154,3.229285
307423758837114880,273,51957,193,0.05582433,158.0721,-0.3293278,520.2317,125.0016,78.99403,341.8897,44.49236,145.2286,104.8341,-14.37193,-9.324069,7.631478,4.854013,5.101715,6.447888,4.308476,5.343134,5.016829
307424308592928768,273,51957,195,0.1609236,158.0992,-0.2989174,382.3609,84.17476,96.4571,134.6101,32.39571,91.39087,67.38499,-37.266,-13.32985,9.212969,4.477844,5.210369,5.827082,4.036222,4.943678,5.133152
307426232738277376,273,51957,202,0.07449803,157.6608,-1.256375,284.4318,101.5447,259.5857,30.08976,7.940773,43.92419,30.51604,-63.16993,-6.294811,3.971393,3.248577,4.927854,1.698635,1.49587,1.86484,1.905066
307429256395253760,273,51957,213,0.0291895,157.616,-0.9692988,1001.429,332.9968,1060.563,78.74149,24.17169,120.7478,86.35233,-74.82433,-5.854892,10.36001,6.965456,12.60448,2.413231,2.139434,3.117145,2.721091
